,year,state,name,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,expenditure,current_spending_instruction,current_spending,other_spending,total_capital,score,test_subject,grade
104,1998,New York,BUFFALO CITY SCH DIST,47010.0,468066.0,57981.0,306864.0,103221.0,472078.0,278151.0,126877.0,22352.0,24483.0,266.311662282306,Reading,8
105,1998,New York,NEW YORK CITY SCH DIST,1071853.0,9155552.0,870540.0,3910582.0,4374430.0,10799265.0,6273098.0,2112372.0,425854.0,1183546.0,215.77921569418098,Reading,4
106,1998,New York,NEW YORK CITY SCH DIST,1071853.0,9155552.0,870540.0,3910582.0,4374430.0,10799265.0,6273098.0,2112372.0,425854.0,1183546.0,266.311662282306,Reading,8
107,1998,Ohio,CLEVELAND CITY SCH DIST,76504.0,657834.0,64503.0,344464.0,248867.0,542906.0,284700.0,182775.0,33642.0,28820.0,,Reading,4
108,1998,Ohio,CLEVELAND CITY SCH DIST,76504.0,657834.0,64503.0,344464.0,248867.0,542906.0,284700.0,182775.0,33642.0,28820.0,,Reading,8
109,1998,Pennsylvania,PHILADELPHIA SCHOOL DISTRICT,212865.0,1554208.0,182186.0,771302.0,600720.0,1510785.0,733824.0,429163.0,88686.0,13584.0,,Reading,4
110,1998,Pennsylvania,PHILADELPHIA SCHOOL DISTRICT,212865.0,1554208.0,182186.0,771302.0,600720.0,1510785.0,733824.0,429163.0,88686.0,13584.0,,Reading,8
111,1998,Tennessee,MEMPHIS CITY SCHS,111227.0,661871.0,69954.0,261762.0,330155.0,660359.0,374696.0,188091.0,35905.0,59012.0,212.40378271707502,Reading,4
112,1998,Tennessee,MEMPHIS CITY SCHS,111227.0,661871.0,69954.0,261762.0,330155.0,660359.0,374696.0,188091.0,35905.0,59012.0,258.859712454914,Reading,8
113,1998,Texas,DALLAS IND SCH DISTRICT 905,157622.0,940014.0,95848.0,211537.0,632629.0,923191.0,502762.0,288456.0,58653.0,50508.0,216.862012407326,Reading,4
114,1998,Texas,DALLAS IND SCH DISTRICT 905,157622.0,940014.0,95848.0,211537.0,632629.0,923191.0,502762.0,288456.0,58653.0,50508.0,262.169894656696,Reading,8
115,1998,Texas,HOUSTON IND SCH DIST 912,210988.0,1197041.0,123456.0,396889.0,676696.0,1231086.0,659676.0,406078.0,66186.0,78843.0,216.862012407326,Reading,4
116,1998,Texas,HOUSTON IND SCH DIST 912,210988.0,1197041.0,123456.0,396889.0,676696.0,1231086.0,659676.0,406078.0,66186.0,78843.0,262.169894656696,Reading,8
117,1998,Texas,SAN ANTONIO IND SCH DIST 907,61112.0,430354.0,55645.0,248306.0,126403.0,417867.0,225164.0,123144.0,29021.0,29194.0,216.862012407326,Reading,4
118,1998,Texas,SAN ANTONIO IND SCH DIST 907,61112.0,430354.0,55645.0,248306.0,126403.0,417867.0,225164.0,123144.0,29021.0,29194.0,262.169894656696,Reading,8
119,1998,Wisconsin,MILWAUKEE CITY SCH DIST,101253.0,872681.0,98438.0,577059.0,197184.0,871670.0,509228.0,282193.0,32556.0,36582.0,224.34723177863398,Reading,4
120,1998,Wisconsin,MILWAUKEE CITY SCH DIST,101253.0,872681.0,98438.0,577059.0,197184.0,871670.0,509228.0,282193.0,32556.0,36582.0,265.976765009526,Reading,8
121,2000,California,FRESNO UNIFIED SCH DIST,78766.0,634431.0,71478.0,409762.0,153191.0,602295.0,329580.0,154428.0,31760.0,75188.0,213.565125054589,Mathematics,4
122,2000,California,FRESNO UNIFIED SCH DIST,78766.0,634431.0,71478.0,409762.0,153191.0,602295.0,329580.0,154428.0,31760.0,75188.0,262.171026590943,Mathematics,8
123,2000,California,LONG BEACH UNI SCH DIST,91465.0,659868.0,76899.0,456725.0,126244.0,645283.0,356648.0,173030.0,34957.0,79467.0,213.565125054589,Mathematics,4
124,2000,California,LONG BEACH UNI SCH DIST,91465.0,659868.0,76899.0,456725.0,126244.0,645283.0,356648.0,173030.0,34957.0,79467.0,262.171026590943,Mathematics,8
125,2000,California,LOS ANGELES CO OFF OF EDUCATION,13582.0,574690.0,232386.0,208326.0,133978.0,530256.0,249111.0,199267.0,13.0,35469.0,213.565125054589,Mathematics,4
126,2000,California,LOS ANGELES CO OFF OF EDUCATION,13582.0,574690.0,232386.0,208326.0,133978.0,530256.0,249111.0,199267.0,13.0,35469.0,262.171026590943,Mathematics,8
127,2000,California,LOS ANGELES UNIF SCH DIST,710007.0,5757819.0,592508.0,3985966.0,1179345.0,5420500.0,2982785.0,1580971.0,364298.0,456954.0,213.565125054589,Mathematics,4
128,2000,California,LOS ANGELES UNIF SCH DIST,710007.0,5757819.0,592508.0,3985966.0,1179345.0,5420500.0,2982785.0,1580971.0,364298.0,456954.0,262.171026590943,Mathematics,8
129,2000,California,OAKLAND UNIF SCH DIST,55051.0,462777.0,52094.0,290968.0,119715.0,503526.0,249448.0,118181.0,27482.0,101583.0,213.565125054589,Mathematics,4
130,2000,California,OAKLAND UNIF SCH DIST,55051.0,462777.0,52094.0,290968.0,119715.0,503526.0,249448.0,118181.0,27482.0,101583.0,262.171026590943,Mathematics,8
131,2000,California,RIVERSIDE CO SPL SCHS OPER BY CO SUP,3463.0,238015.0,61632.0,114378.0,62005.0,192183.0,80893.0,28579.0,591.0,6042.0,213.565125054589,Mathematics,4
132,2000,California,RIVERSIDE CO SPL SCHS OPER BY CO SUP,3463.0,238015.0,61632.0,114378.0,62005.0,192183.0,80893.0,28579.0,591.0,6042.0,262.171026590943,Mathematics,8
133,2000,California,SAN DIEGO CITY UNIF SCH DIST,140743.0,1193969.0,119748.0,511942.0,562279.0,1148285.0,598728.0,316394.0,40080.0,189057.0,213.565125054589,Mathematics,4
134,2000,California,SAN DIEGO CITY UNIF SCH DIST,140743.0,1193969.0,119748.0,511942.0,562279.0,1148285.0,598728.0,316394.0,40080.0,189057.0,262.171026590943,Mathematics,8
135,2000,District of Columbia,DC PUBLIC SCHOOLS,70762.0,881423.0,184825.0,0.0,696598.0,858807.0,318260.0,429891.0,23107.0,87549.0,193.28977448330102,Mathematics,4
136,2000,District of Columbia,DC PUBLIC SCHOOLS,70762.0,881423.0,184825.0,0.0,696598.0,858807.0,318260.0,429891.0,23107.0,87549.0,234.428798057957,Mathematics,8
137,2000,Florida,BROWARD CO SCHOOL DIST,241094.0,1736054.0,113016.0,907465.0,715573.0,1706037.0,748789.0,553424.0,117164.0,254704.0,,Mathematics,4
138,2000,Florida,BROWARD CO SCHOOL DIST,241094.0,1736054.0,113016.0,907465.0,715573.0,1706037.0,748789.0,553424.0,117164.0,254704.0,,Mathematics,8
139,2000,Florida,DUVAL CO SCH DIST,126362.0,834598.0,67291.0,457878.0,309429.0,788104.0,386439.0,255168.0,42756.0,93561.0,,Mathematics,4
140,2000,Florida,DUVAL CO SCH DIST,126362.0,834598.0,67291.0,457878.0,309429.0,788104.0,386439.0,255168.0,42756.0,93561.0,,Mathematics,8
141,2000,Florida,HILLSBOROUGH CO SCH DIST,159517.0,1232877.0,135982.0,685543.0,411352.0,1180559.0,529551.0,342403.0,117579.0,162575.0,,Mathematics,4
142,2000,Florida,HILLSBOROUGH CO SCH DIST,159517.0,1232877.0,135982.0,685543.0,411352.0,1180559.0,529551.0,342403.0,117579.0,162575.0,,Mathematics,8
143,2000,Florida,MIAMI-DADE CO SCH DIST,360136.0,2695735.0,230829.0,1410531.0,1054375.0,2656802.0,1303806.0,820866.0,210121.0,245616.0,,Mathematics,4
144,2000,Florida,MIAMI-DADE CO SCH DIST,360136.0,2695735.0,230829.0,1410531.0,1054375.0,2656802.0,1303806.0,820866.0,210121.0,245616.0,,Mathematics,8
145,2000,Florida,ORANGE CO SCH BOARD,144231.0,1214344.0,65021.0,641699.0,507624.0,1090620.0,435628.0,313452.0,67056.0,246481.0,,Mathematics,4
146,2000,Florida,ORANGE CO SCH BOARD,144231.0,1214344.0,65021.0,641699.0,507624.0,1090620.0,435628.0,313452.0,67056.0,246481.0,,Mathematics,8
